2022-02-19 11:23:43.842485
EAN,Name,MRP,Price
1213031,"ITC Master Chef Hyderabadi Biryani & Butter Chicken Ready to Eat Masala Paste, 80 g, Combo 2 Items",Rs 150,Rs 142.50
1213752,"ChefBoss Schezwan Cooking Sauce, 2x175 g Multipack",Rs 150,Rs 135.38
1214940,"ChefBoss Kung Pao Cooking Sauce, 2x200 g (Multipack)",Rs 150,Rs 135.38
1212001,"Sunfeast YiPPee! Mood Masala, Instant Noodles, 3x65 g (Single Pack)",Rs 45,Rs 42.75
1212036,"Chings Instant Soup - Manchow, 10x15 g Multipack",Rs 100,Rs 76
1212037,"Chings Instant Soup - Tomato, 10x15 g Multipack",Rs 100,Rs 76
1214903,"Aashirvaad Instant Khatta Meetha Poha With Millets, 3X60 g Multipack",Rs 75,Rs 67.50
1212038,"Chings Instant Soup - Hot & Sour, 10x15 g Multipack",Rs 100,Rs 76
1212042,"Ching'S Secret Hot Garlic Instant Noodles, 3x60 g Multipack",Rs 45,Rs 39.69
1213167,"Sunfeast YiPPee! Saucy Masala, Instant Noodles, 3x65 g (Single Pack)",Rs 45,Rs 42.75
1212034,"Chings Instant Soup - Sweet Corn Veg, 10x15 g Multipack",Rs 100,Rs 80
1214905,"Aashirvaad Instant Suji Halwa With Jaggery, 3X45 g Multipack",Rs 90,Rs 81
1214904,"Aashirvaad Instant Veggie Upma With Vegetables, 3X60 g Multipack",Rs 75,Rs 67.50
1202659,"Sunfeast Pasta Treat - Tomato Cheese, 2x65 g",Rs 56,Rs 47.60
1212536,"Mother's Recipe Mix - Kadhai Paneer, 3x80 g (Multipack)",Rs 165,Rs 135.30
1212044,"Ching'S Secret Schezwan Instant Noodles, 3x60 g Multipack",Rs 45,Rs 39.69
1212002,"Sunfeast YiPPee! Power Up Atta Noodles, Instant Noodles, 3x70 g (Single Pack)",Rs 66,Rs 62.70
1212046,"Ching'S Secret Manchurian Instant Noodles, 3x60 g Multipack",Rs 45,Rs 39.69
1212101,"Ching'S Secret Tomato +  Hot & Sour Soup, Combo 2 Items",Rs 110,Rs 92.70
1212048,"Ching'S Secret Singapore Curry Instant Noodles, 3x60 g Multipack",Rs 45,Rs 39.69
1212102,"Ching'S Secret Manchow + Tomato Soup, Combo 2 Items",Rs 110,Rs 91.62
1215081,"Wingreens Farms Wingreens Schezwan Chilli Garlic Sauce - 130g Tube + (Chatpata pudhina naan chips 30gm ), Combo 2 Items",Rs 119,Rs 69.50
1212035,"Chings Instant Soup - Mix Veg, 10x15 g Multipack",Rs 100,Rs 80
