2022-02-16 10:50:15.099153
JIO,Name,MRP,Price,Pincode
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,700015
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  280.25,700015
490503478,Nescafe Classic Instant Coffee 100 g (Jar),  310.00,  275.00,700015
490675817,Aashirvaad Multigrain Atta 5 kg,  315.00,  272.00,452007
491019524,Daawat Rozana Super Basmati Rice 5 kg,None,None,452007
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,452007
491409954,Kellogg's Nuts Delight Muesli 750 g,  425.00,  385.00,452007
491321729,Raw Pressery Orange Juice 1 l,None,None,452007
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),None,None,452007
491187481,Bournvita 750 g,  310.00,  270.00,452007
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,452007
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,452007
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,452007
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,None,None,452007
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  74.40,452007
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,452007
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,452007
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  216.00,452007
490000041,Aashirvaad Whole Wheat Atta 10 kg,None,None,452007
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,452007
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,452007
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,452007
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,452007
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,  205.00,  189.00,452007
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,452007
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  280.25,452007
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,452007
490675817,Aashirvaad Multigrain Atta 5 kg,  305.00,  265.00,110001
491019524,Daawat Rozana Super Basmati Rice 5 kg,  390.00,  325.00,110001
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,110001
491409954,Kellogg's Nuts Delight Muesli 750 g,  425.00,  385.00,110001
491321729,Raw Pressery Orange Juice 1 l,None,None,110001
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),None,None,110001
491187481,Bournvita 750 g,  310.00,  270.00,110001
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,110001
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,110001
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,110001
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,110001
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  74.40,110001
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,110001
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,110001
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,None,None,110001
490000041,Aashirvaad Whole Wheat Atta 10 kg,  390.00,  349.00,110001
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,110001
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,110001
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,  200.00,  185.00,110001
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,110001
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,  205.00,  189.00,110001
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,110001
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  280.25,110001
490503478,Nescafe Classic Instant Coffee 100 g (Jar),  310.00,  275.00,110001
490675817,Aashirvaad Multigrain Atta 5 kg,None,None,380009
491019524,Daawat Rozana Super Basmati Rice 5 kg,  390.00,  325.00,380009
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,380009
491409954,Kellogg's Nuts Delight Muesli 750 g,  415.00,  375.00,380009
491321729,Raw Pressery Orange Juice 1 l,None,None,380009
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,380009
491187481,Bournvita 750 g,  310.00,  264.00,380009
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,380009
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,380009
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,380009
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,380009
490008739,Parle-G Original Glucose Biscuits 800 g,  75.00,  67.50,380009
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,380009
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,380009
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  185.00,380009
490000041,Aashirvaad Whole Wheat Atta 10 kg,  412.00,  341.00,380009
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,380009
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,380009
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,380009
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,380009
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,None,None,380009
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,380009
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  274.35,380009
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,380009
490675817,Aashirvaad Multigrain Atta 5 kg,  315.00,  259.00,411030
491019524,Daawat Rozana Super Basmati Rice 5 kg,None,None,411030
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  94.00,411030
491409954,Kellogg's Nuts Delight Muesli 750 g,  425.00,  345.00,411030
491321729,Raw Pressery Orange Juice 1 l,None,None,411030
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,411030
491187481,Bournvita 750 g,  310.00,  230.00,411030
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),None,None,411030
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,411030
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,411030
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,411030
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  72.00,411030
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,411030
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,411030
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  165.00,411030
490000041,Aashirvaad Whole Wheat Atta 10 kg,  412.00,  342.00,411030
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,411030
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,411030
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,411030
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,411030
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,  205.00,  189.00,411030
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,411030
490967439,Red Label Natural Care Tea 500 g (Carton),None,None,411030
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,411030
490675817,Aashirvaad Multigrain Atta 5 kg,  315.00,  262.00,370201
491019524,Daawat Rozana Super Basmati Rice 5 kg,  390.00,  325.00,370201
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,370201
491409954,Kellogg's Nuts Delight Muesli 750 g,None,None,370201
491321729,Raw Pressery Orange Juice 1 l,None,None,370201
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,370201
491187481,Bournvita 750 g,  310.00,  264.00,370201
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,370201
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,370201
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,370201
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,None,None,370201
490008739,Parle-G Original Glucose Biscuits 800 g,  75.00,  67.50,370201
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,370201
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,370201
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  185.00,370201
490000041,Aashirvaad Whole Wheat Atta 10 kg,None,None,370201
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,370201
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,370201
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,370201
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,370201
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,None,None,370201
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,370201
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  280.25,370201
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,370201
490675817,Aashirvaad Multigrain Atta 5 kg,None,None,382007
491019524,Daawat Rozana Super Basmati Rice 5 kg,  390.00,  325.00,382007
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,382007
491409954,Kellogg's Nuts Delight Muesli 750 g,  415.00,  375.00,382007
491321729,Raw Pressery Orange Juice 1 l,None,None,382007
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,382007
491187481,Bournvita 750 g,  310.00,  264.00,382007
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,382007
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,382007
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,382007
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,382007
490008739,Parle-G Original Glucose Biscuits 800 g,  75.00,  67.50,382007
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,382007
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,382007
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  185.00,382007
490000041,Aashirvaad Whole Wheat Atta 10 kg,  412.00,  341.00,382007
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,382007
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,382007
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,382007
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,382007
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,None,None,382007
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,382007
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  274.35,382007
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,382007
490675817,Aashirvaad Multigrain Atta 5 kg,  315.00,  262.00,390008
491019524,Daawat Rozana Super Basmati Rice 5 kg,None,None,390008
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,390008
491409954,Kellogg's Nuts Delight Muesli 750 g,  415.00,  375.00,390008
491321729,Raw Pressery Orange Juice 1 l,None,None,390008
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,390008
491187481,Bournvita 750 g,  310.00,  264.00,390008
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,390008
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,390008
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,390008
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,390008
490008739,Parle-G Original Glucose Biscuits 800 g,  75.00,  67.50,390008
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,390008
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,390008
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,  240.00,  185.00,390008
490000041,Aashirvaad Whole Wheat Atta 10 kg,  412.00,  341.00,390008
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,390008
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,390008
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,390008
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,390008
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,None,None,390008
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,390008
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  274.35,390008
490503478,Nescafe Classic Instant Coffee 100 g (Jar),  310.00,  275.00,390008
490675817,Aashirvaad Multigrain Atta 5 kg,  305.00,  265.00,122018
491019524,Daawat Rozana Super Basmati Rice 5 kg,  390.00,  325.00,122018
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,122018
491409954,Kellogg's Nuts Delight Muesli 750 g,  425.00,  385.00,122018
491321729,Raw Pressery Orange Juice 1 l,None,None,122018
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),None,None,122018
491187481,Bournvita 750 g,  310.00,  270.00,122018
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,122018
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,122018
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,122018
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,122018
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  74.40,122018
